City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Novobiryusinskiy,RU,56.96,97.71,25.59,96,100,14.25,overcast clouds
324,Egvekinot,RU,66.32,-179.17,31.91,99,100,8.43,overcast clouds
325,Tilichiki,RU,60.47,166.1,24.96,95,100,15.12,overcast clouds
326,Ardalstangen,NO,61.24,7.7,48.2,93,90,49.44,overcast clouds
327,Ust-Koksa,RU,50.27,85.61,26.73,89,100,1.5,overcast clouds
328,Port Hueneme,US,34.15,-119.2,93.99,38,1,5.82,clear sky
329,Uulu,EE,58.28,24.58,48.99,82,0,10.0,clear sky
330,Port Hedland,AU,-20.32,118.57,75.2,73,0,10.29,clear sky
331,Bulungu,CD,-4.55,18.6,72.23,96,100,5.84,overcast clouds
332,Zhigalovo,RU,54.81,105.16,27.09,96,100,7.07,light snow
333,Alta Floresta,BR,-9.88,-56.09,93.65,35,58,4.32,broken clouds
334,Hobyo,SO,5.35,48.53,80.22,79,97,8.7,overcast clouds
335,Abu Dhabi,AE,24.47,54.37,78.8,74,0,1.12,clear sky
336,Yaan,NG,7.38,8.57,81.63,44,99,2.75,overcast clouds
337,Nago,JP,26.59,127.98,78.8,94,90,16.11,light rain
338,Dunstable,GB,51.89,-0.52,42.8,87,70,3.36,broken clouds
339,Murray Bridge,AU,-35.12,139.27,50.0,88,86,1.52,overcast clouds
340,San Cristobal,VE,7.77,-72.22,87.8,58,40,12.75,thunderstorm
341,Garh Maharaja,PK,30.83,71.91,64.44,25,0,2.26,clear sky
342,Walvis Bay,NA,-22.96,14.51,61.0,87,0,4.7,clear sky
343,Lompoc,US,34.64,-120.46,86.0,26,20,6.35,haze
344,Pithoragarh,IN,29.58,80.22,45.77,73,0,3.04,clear sky
345,Las Palmas,ES,28.42,-14.01,68.0,77,20,9.17,few clouds
346,Pingxiang,CN,27.62,113.85,59.43,79,17,0.67,light rain
347,Stromness,GB,58.97,-3.3,51.8,76,40,23.04,scattered clouds
348,Usogorsk,RU,63.41,48.69,37.2,84,94,10.16,overcast clouds
349,Luwuk,ID,-0.95,122.79,78.48,71,68,2.1,light rain
350,Topeka,US,39.05,-95.68,75.0,40,1,5.03,clear sky
351,Poddorye,RU,57.47,31.12,47.26,82,100,12.28,light rain
352,Waterloo,CA,43.47,-80.52,62.6,59,1,13.87,clear sky
353,Gornyye Klyuchi,RU,45.25,133.5,32.07,97,6,4.27,clear sky
354,Mitsamiouli,KM,-11.38,43.28,78.28,73,0,9.44,clear sky
355,Kingston,JM,18.0,-76.79,80.6,69,90,18.34,overcast clouds
356,San Rafael,AR,-34.62,-68.33,74.1,19,0,12.84,clear sky
357,Isiro,CD,2.77,27.62,68.79,93,88,2.26,overcast clouds
358,Tasiilaq,GL,65.61,-37.64,28.4,74,75,1.12,broken clouds
359,Half Moon Bay,US,37.46,-122.43,75.99,72,1,11.41,clear sky
360,Sisimiut,GL,66.94,-53.67,20.28,90,100,7.67,light snow
361,Lysyanka,UA,49.25,30.83,41.95,91,0,7.87,clear sky
